10/18/2014,13,32,false,43,97,100,66,40,100,39,24,47,96
07/06/2014,78,60,false,64,20,42,62,61,67,41,53,23,36
09/13/2014,32,76,true,82,98,13,25,96,46,64,13,21,70
10/03/2014,100,49,true,9,12,45,51,71,74,33,44,64,21
10/11/2014,40,74,true,56,81,86,56,11,44,85,97,70,98
06/11/2015,33,25,false,74,7,66,74,81,98,2,5,90,4
06/02/2014,6,59,false,31,58,56,89,28,4,76,79,61,75
12/04/2014,45,90,false,2,35,16,19,3,3,95,31,74,73
01/29/2015,22,45,true,4,95,18,2,25,24,85,98,37,24
02/06/2015,33,33,true,56,18,31,66,39,15,79,21,34,63
02/18/2015,78,60,true,31,60,30,5,32,39,38,81,16,67
09/22/2014,95,25,false,6,93,51,71,66,22,72,94,41,97
02/26/2015,64,31,true,2,40,88,48,41,81,15,39,4,83
04/14/2015,24,34,true,87,43,47,72,51,74,58,77,71,66
02/08/2015,23,63,false,46,24,84,57,44,27,80,10,42,85
05/02/2015,56,30,true,65,60,20,33,33,48,52,86,53,51
08/15/2014,67,4,true,23,28,29,95,83,13,100,83,16,90
06/24/2015,40,48,true,2,88,57,80,42,42,37,54,74,90
02/06/2015,44,27,true,19,27,20,10,25,60,52,83,74,26
06/17/2015,14,5,true,51,80,77,56,67,32,16,98,71,65
11/20/2014,73,34,true,69,43,96,41,42,85,43,1,81,42
05/31/2015,11,23,false,78,98,42,77,56,10,21,99,42,47
03/23/2015,39,76,false,56,63,55,7,14,15,43,81,52,34
06/22/2015,64,36,false,29,20,34,70,45,85,42,19,52,9
11/04/2014,67,67,true,37,100,85,3,2,41,80,59,35,71
06/29/2014,31,4,false,38,34,19,89,97,40,34,84,63,5
09/17/2014,13,84,true,93,44,84,32,14,76,8,21,7,79
08/06/2014,24,84,true,48,52,38,50,3,89,71,30,45,35
10/29/2014,41,20,false,91,37,29,25,49,61,41,14,24,90
07/13/2014,84,89,true,58,89,89,61,71,100,36,17,67,71
08/04/2014,16,25,true,6,71,20,47,58,76,77,9,60,76
06/01/2014,41,34,true,17,98,71,11,22,89,95,100,13,34
11/28/2014,77,26,false,69,59,97,84,5,45,76,52,51,85
01/17/2015,45,59,false,83,88,71,30,7,61,5,24,52,50
10/04/2014,55,65,false,79,2,67,38,15,52,36,8,42,77
03/06/2015,61,5,true,14,61,97,94,49,68,23,92,54,33
12/22/2014,2,49,false,72,67,7,60,69,91,69,32,11,39
06/26/2015,69,46,false,85,10,68,48,6,29,40,61,64,37
06/25/2015,33,93,true,75,98,1,94,21,19,92,84,22,87
09/15/2014,58,23,false,65,27,43,91,40,52,17,57,86,6
04/14/2015,21,11,true,4,20,43,69,67,30,72,46,30,57
02/07/2015,71,1,false,64,6,10,24,44,67,75,56,66,35
12/28/2014,24,38,true,73,78,77,18,90,79,37,42,31,27
01/09/2015,78,94,true,18,94,49,22,20,97,7,45,85,66
08/08/2014,3,50,true,39,95,12,100,74,40,36,67,88,78
04/16/2015,21,60,false,6,35,7,87,54,79,50,17,6,4
04/09/2015,60,16,true,97,90,22,33,31,96,1,6,84,64
01/02/2015,33,3,true,42,20,18,44,13,48,51,1,3,45
05/31/2015,88,16,false,47,51,35,70,91,75,41,10,8,99
07/05/2014,82,83,false,10,8,45,95,7,28,43,83,60,9
03/19/2015,73,34,false,59,31,96,37,6,3,27,38,51,100
06/16/2014,82,25,true,83,90,56,39,18,25,69,24,59,23
06/17/2014,74,75,false,90,77,42,39,44,47,54,16,62,59
07/01/2014,96,15,false,4,75,6,38,45,97,4,36,29,52
09/30/2014,77,14,false,34,74,49,75,19,81,95,66,97,77
08/30/2014,91,67,false,98,98,10,50,39,86,25,28,79,73
05/05/2015,33,89,true,13,67,18,43,24,70,51,9,94,92
07/16/2014,1,86,false,15,79,10,72,87,47,15,84,60,100
01/21/2015,21,47,true,63,70,59,88,53,87,64,62,97,54
09/22/2014,78,21,false,98,52,58,58,9,53,53,13,62,79
01/22/2015,70,90,true,94,97,73,68,85,81,65,55,85,1
12/23/2014,37,51,true,61,59,11,93,34,83,57,32,65,13
12/14/2014,13,37,false,27,96,38,35,22,14,66,33,60,60
08/22/2014,23,11,false,78,32,2,74,94,46,2,73,45,2
11/17/2014,14,39,true,31,84,37,58,67,47,32,59,59,56
09/22/2014,56,48,false,96,20,9,82,97,48,2,19,71,52
05/30/2015,27,28,false,73,12,21,53,4,52,74,79,33,73
10/25/2014,64,73,true,31,11,77,75,64,51,15,27,62,35
06/26/2015,64,17,true,78,74,16,75,3,78,86,76,8,56
05/24/2015,11,24,false,4,69,53,33,62,54,90,93,8,11
03/08/2015,24,58,false,65,26,65,95,44,98,77,2,3,18
09/07/2014,16,16,true,45,53,16,21,17,5,98,25,99,10
12/04/2014,99,91,false,92,6,24,26,51,13,64,37,10,53
08/16/2014,23,11,false,81,76,57,33,73,15,39,38,78,8
07/28/2014,86,31,false,90,32,74,48,40,47,83,12,10,66
07/21/2014,97,28,false,2,90,37,29,73,86,39,45,41,8
07/13/2014,59,93,true,100,31,95,24,2,19,37,45,81,22
02/23/2015,63,55,false,81,13,13,96,54,90,23,32,91,6
01/31/2015,11,41,true,83,88,56,26,45,45,31,86,55,30
07/26/2014,19,92,false,4,77,13,97,10,95,49,11,44,29
03/07/2015,7,66,false,8,92,53,65,57,50,11,74,8,74
05/05/2015,76,30,false,86,91,82,89,10,4,90,34,45,82
01/03/2015,100,66,true,75,43,96,10,25,95,30,9,27,47
02/13/2015,54,89,true,86,23,75,52,5,15,88,53,28,59
04/14/2015,99,2,true,67,68,44,61,52,21,14,59,75,9
05/06/2015,49,48,false,9,95,51,83,80,52,13,43,32,72
10/04/2014,26,27,false,61,75,36,90,35,48,56,84,5,92
06/06/2014,16,77,false,79,90,24,49,34,77,28,63,50,16
11/08/2014,28,43,true,96,93,25,68,12,3,95,17,1,45
11/26/2014,98,19,false,57,96,96,6,77,49,15,87,72,28
09/22/2014,47,32,true,56,51,37,65,95,93,97,43,80,53
06/25/2015,93,91,false,49,91,2,10,59,2,5,39,67,6
02/19/2015,52,93,false,79,10,26,14,38,55,27,93,96,89
06/23/2014,16,58,true,28,90,20,52,54,61,7,77,18,82
02/20/2015,98,40,true,72,36,1,54,69,37,63,44,8,44
01/28/2015,51,44,false,59,54,94,19,80,56,90,80,51,13
08/05/2014,8,94,true,82,17,5,8,79,48,18,9,24,96
11/11/2014,29,13,false,25,17,5,69,28,73,75,49,43,8
07/31/2014,44,21,true,20,63,88,59,82,79,6,30,81,94
06/15/2014,18,87,false,56,77,57,80,23,2,45,94,81,16
09/13/2014,63,78,false,6,68,27,24,91,90,3,31,77,22
06/05/2015,73,45,false,45,11,95,11,7,25,38,41,39,21
03/21/2015,16,73,false,19,21,24,17,60,7,69,35,59,31
01/16/2015,50,68,true,37,66,89,48,65,48,25,29,89,20
02/17/2015,14,41,true,41,35,2,1,1,32,87,88,33,35
07/16/2014,69,76,true,53,97,44,69,52,100,50,26,24,93
11/13/2014,47,46,false,88,45,13,32,74,14,20,69,58,6
02/09/2015,87,80,false,20,72,75,28,15,21,20,4,70,89
06/20/2015,20,94,false,67,42,83,52,16,77,25,9,99,84
06/08/2014,15,1,false,49,18,49,47,82,96,33,90,79,11
01/06/2015,80,75,false,55,28,48,38,33,72,37,48,52,46
12/14/2014,84,65,false,60,29,80,6,76,80,75,11,89,94
07/24/2014,95,98,false,39,39,15,24,42,75,44,25,78,66
06/05/2015,25,96,true,48,73,46,5,86,67,20,44,16,27
01/21/2015,14,48,false,7,63,2,4,42,96,81,20,68,54
04/25/2015,76,69,false,5,7,76,24,37,19,62,66,89,64
08/05/2014,57,90,true,7,42,36,72,95,57,78,31,37,72
08/04/2014,97,12,false,77,11,5,80,45,13,58,30,44,70
02/16/2015,11,16,true,98,50,91,51,17,9,70,33,53,89
07/28/2014,77,3,false,66,49,25,51,31,27,27,91,24,65
10/31/2014,5,9,true,44,58,2,91,26,29,97,96,71,86
08/11/2014,37,35,true,10,83,68,21,36,87,38,84,61,9
01/27/2015,2,51,true,82,18,8,33,68,33,91,35,53,61
12/10/2014,3,9,true,35,3,100,22,17,80,33,69,12,37
06/26/2015,91,16,true,21,51,15,82,54,44,97,3,37,68
06/06/2014,99,68,false,9,68,60,36,57,2,77,71,10,26
05/19/2015,21,10,false,62,28,30,36,76,4,80,80,80,97
05/01/2015,13,28,true,77,91,58,1,48,77,72,81,37,61
07/28/2014,72,15,false,71,31,22,54,37,81,32,37,49,90
09/01/2014,91,25,false,38,97,95,74,70,43,13,76,4,68
10/04/2014,80,46,true,1,16,56,24,18,95,94,19,39,44
03/26/2015,24,83,true,58,22,28,68,71,75,54,10,1,7
05/08/2015,49,60,false,20,85,22,74,76,57,75,27,4,34
03/25/2015,18,56,true,56,8,79,47,28,27,51,57,54,52
04/07/2015,41,69,true,5,67,58,81,40,41,78,7,26,41
03/12/2015,77,92,false,11,97,69,88,24,54,18,7,52,21
07/09/2014,62,67,true,17,91,61,82,37,93,67,76,48,59
06/29/2014,13,78,false,19,51,63,65,99,9,51,6,89,45
08/14/2014,99,71,false,84,98,85,53,64,92,35,24,50,12
03/28/2015,90,25,true,62,100,16,90,14,93,40,6,37,12
01/09/2015,7,11,true,83,31,50,44,50,24,34,57,28,14
11/28/2014,6,23,false,40,39,99,94,83,43,25,56,41,7
03/09/2015,85,91,true,27,43,48,28,6,22,14,28,54,87
10/19/2014,52,89,false,14,59,79,29,76,26,4,80,57,34
07/01/2015,23,51,true,79,8,17,14,18,28,29,77,29,4
08/27/2014,9,99,false,87,24,37,65,48,73,88,61,98,90
06/13/2015,71,30,true,19,7,29,9,34,69,38,26,77,20
12/06/2014,15,65,false,7,96,15,5,18,59,75,2,65,23
02/13/2015,86,75,true,90,79,14,79,75,90,67,27,13,67
08/17/2014,18,60,true,44,17,71,42,14,21,41,27,51,2
05/30/2015,76,20,false,52,8,65,73,53,45,61,14,81,88
04/26/2015,99,28,true,10,48,20,18,82,72,89,11,79,14
11/11/2014,87,63,false,74,11,99,76,8,27,57,22,46,32
06/14/2015,36,71,false,29,54,80,43,75,8,64,97,68,10
06/05/2015,6,96,true,84,47,3,16,30,1,85,55,4,7
06/02/2015,59,31,true,66,20,14,51,64,20,22,93,58,39
03/02/2015,78,55,false,18,68,59,23,34,38,42,79,1,80
03/10/2015,91,12,true,89,14,66,80,37,45,89,15,85,42
05/05/2015,100,95,false,5,98,65,2,3,5,48,63,59,69
04/07/2015,11,8,true,81,99,33,59,84,96,78,14,87,83
02/08/2015,95,90,true,75,3,70,91,88,90,93,69,72,90
05/10/2015,85,73,false,43,85,76,75,55,88,1,71,64,62
09/22/2014,69,6,false,60,95,50,77,82,98,21,19,68,83
05/05/2015,43,73,false,56,79,29,32,24,64,20,81,95,39
10/03/2014,74,65,true,99,65,27,33,91,31,3,94,71,74
12/16/2014,71,68,true,64,9,15,2,68,7,85,53,21,13
12/26/2014,87,92,true,26,49,93,86,85,24,41,9,86,83
12/19/2014,58,96,true,65,49,96,41,1,79,88,6,87,50
01/08/2015,58,39,false,43,37,96,59,41,56,79,58,49,23
03/18/2015,23,1,true,27,73,74,25,84,7,25,80,24,79
06/13/2014,31,56,true,61,89,52,12,68,59,79,26,50,61
06/21/2014,72,99,false,90,90,74,6,39,60,89,89,90,3
09/18/2014,16,78,false,79,47,90,49,45,75,36,27,80,26
07/03/2015,23,13,true,50,70,26,99,61,60,19,24,77,59
11/05/2014,43,8,true,59,71,12,45,91,24,70,62,7,90
11/15/2014,100,18,false,49,92,40,65,48,72,97,57,85,85
08/27/2014,50,14,false,71,4,52,96,19,79,59,8,5,100
06/10/2015,53,47,true,98,45,13,52,22,72,1,54,51,53
03/16/2015,9,70,true,83,21,75,62,61,79,48,87,37,29
03/21/2015,17,73,true,31,21,52,39,90,50,10,92,98,96
12/25/2014,83,4,false,78,17,3,62,85,24,11,55,23,50
04/06/2015,27,81,false,30,12,23,31,3,36,27,98,11,95
02/25/2015,91,4,false,72,53,86,80,73,35,7,96,48,67
